t,lead_I
1619.9,-121257.84999999999
1621.9,-121259.45
1623.9,-121266.85
1625.9,-121272.1
1627.9,-121270.75
1629.9,-121267.90000000001
1631.9,-121270.95000000001
1633.9,-121279.15
1635.9,-121288.44999999998
1637.9,-121299.29999999999
1639.9,-121307.55
1641.88,-121305.59999999999
1643.85,-121303.0
1645.83,-121318.25
1647.8,-121343.25
1649.8,-121352.50000000001
1651.8,-121347.3
1653.8,-121350.40000000002
1655.8,-121364.80000000002
1657.8,-121374.85
1659.8,-121375.3
1661.8,-121371.65000000001
1663.8,-121368.95
1665.8,-121375.20000000001
1667.8,-121394.2
1669.8,-121411.65
1671.8,-121413.15
1673.8,-121409.45
1675.8,-121417.65000000001
1677.8,-121432.15000000001
1679.8,-121441.15000000001
1681.8,-121448.35
1683.8,-121456.55
1685.8,-121459.15000000001
1687.8,-121461.3
1689.8,-121473.95000000001
1691.8,-121487.7
1693.8,-121488.3
1695.8,-121484.9
1697.8,-121490.40000000001
1699.8,-121498.0
1701.8,-121499.4
1703.8,-121498.90000000001
1705.8,-121499.40000000001
1707.8,-121498.55
1709.8,-121498.6
1711.8,-121501.00000000001
1713.8,-121499.80000000002
1715.8,-121491.90000000001
1717.8,-121485.1
1719.8,-121487.5
1721.78,-121493.84999999999
1723.75,-121489.74999999999
1725.73,-121471.09999999998
1727.7,-121450.65
1729.7,-121439.8
1731.7,-121434.00000000001
1733.7,-121423.50000000001
1735.7,-121407.1
1737.7,-121389.80000000002
1739.7,-121375.85000000002
1741.7,-121366.30000000002
1743.7,-121356.20000000003
1745.7,-121337.75000000003
1747.7,-121311.80000000002
1749.7,-121289.40000000002
1751.7,-121277.20000000001
1753.7,-121268.90000000001
1755.7,-121256.05000000003
1757.7,-121240.25000000003
1759.7,-121230.50000000003
1761.7,-121233.10000000002
1763.7,-121245.55000000002
1765.7,-121258.00000000001
1767.7,-121262.95000000003
1769.7,-121265.05000000002
1771.7,-121275.20000000001
1773.7,-121295.15000000001
1775.7,-121315.70000000001
